country_id,istat_code,min_code,at_code
al,201,201,Z100
ad,202,202,Z101
at,203,203,Z102
be,206,206,Z103
bg,209,209,Z104
dk,212,212,Z107
fi,214,214,Z109
fr,215,215,Z110
de,216,216,Z112
uk,219,219,Z114
gr,220,220,Z115
ie,221,221,Z116
is,223,223,Z117
li,225,225,Z119
lu,226,226,Z120
mt,227,227,Z121
mc,229,229,Z123
no,231,231,Z125
nl,232,232,Z126
pl,233,233,Z127
pt,234,234,Z128
ro,235,235,Z129
sm,236,236,Z130
es,239,239,Z131
se,240,240,Z132
ch,241,241,Z133
ua,243,243,Z138
hu,244,244,Z134
ru,245,245,Z154
va,246,246,Z106
ee,247,247,Z144
lv,248,248,Z145
lt,249,249,Z146
hr,250,250,Z149
si,251,251,Z150
ba,252,252,Z153
mk,253,253,Z148
md,254,254,Z140
sk,255,255,Z155
by,256,256,Z139
cz,257,257,Z156
me,270,270,Z159
rs,271,271,Z158
xk,272,272,Z160
af,301,301,Z200
sa,302,302,Z203
bh,304,304,Z204
bd,305,305,Z249
bt,306,306,Z205
mm,307,307,Z206
bn,309,309,Z207
kh,310,310,Z208
lk,311,311,Z209
cn,314,314,Z210
cy,315,315,Z211
kp,319,319,Z214
kr,320,320,Z213
ae,322,322,Z215
ph,323,323,Z216
ps,324,324,Z161
jp,326,326,Z219
jo,327,327,Z220
in,330,330,Z222
id,331,331,Z223
ir,332,332,Z224
iq,333,333,Z225
il,334,334,Z226
kw,335,335,Z227
la,336,336,Z228
lb,337,337,Z229
tl,338,338,Z242
mv,339,339,Z232
my,340,340,Z247
mn,341,341,Z233
np,342,342,Z234
om,343,343,Z235
pk,344,344,Z236
qa,345,345,Z237
sg,346,346,Z248
sy,348,348,Z240
th,349,349,Z241
tr,351,351,Z243
vn,353,353,Z251
ye,354,354,Z246
kz,356,356,Z255
uz,357,357,Z259
am,358,358,Z252
az,359,359,Z253
ge,360,360,Z254
kg,361,361,Z256
tj,362,362,Z257
tw,363,363,Z217
tm,364,364,Z258
dz,401,401,Z301
ao,402,402,Z302
ci,404,404,Z313
bj,406,406,Z314
bw,408,408,Z358
bf,409,409,Z354
bi,410,410,Z305
cm,411,411,Z306
cv,413,413,Z307
cf,414,414,Z308
td,415,415,Z309
km,417,417,Z310
cg,418,418,Z311
eg,419,419,Z336
et,420,420,Z315
ga,421,421,Z316
gm,422,422,Z317
gh,423,423,Z318
dj,424,424,Z361
gn,425,425,Z319
gw,426,426,Z320
gq,427,427,Z321
ke,428,428,Z322
ls,429,429,Z359
lr,430,430,Z325
ly,431,431,Z326
mg,432,432,Z327
mw,434,434,Z328
ml,435,435,Z329
ma,436,436,Z330
mr,437,437,Z331
mu,438,438,Z332
mz,440,440,Z333
na,441,441,Z300
ne,442,442,Z334
ng,443,443,Z335
rw,446,446,Z338
st,448,448,Z341
sc,449,449,Z342
sn,450,450,Z343
sl,451,451,Z344
so,453,453,Z345
za,454,454,Z347
sd,455,455,Z348
sz,456,456,Z349
tz,457,457,Z357
tg,458,458,Z351
tn,460,460,Z352
ug,461,461,Z353
cd,463,463,Z312
zm,464,464,Z355
zw,465,465,Z337
er,466,466,Z368
ss,467,467,Z907
ag,503,503,Z532
bs,505,505,Z502
bb,506,506,Z522
bz,507,507,Z512
ca,509,509,Z401
cr,513,513,Z503
cu,514,514,Z504
dm,515,515,Z526
do,516,516,Z505
sv,517,517,Z506
jm,518,518,Z507
gd,519,519,Z524
gt,523,523,Z509
ht,524,524,Z510
hn,525,525,Z511
mx,527,527,Z514
ni,529,529,Z515
pa,530,530,Z516
lc,532,532,Z527
vc,533,533,Z528
kn,534,534,Z533
us,536,536,Z404
ar,602,602,Z600
bo,604,604,Z601
br,605,605,Z602
cl,606,606,Z603
co,608,608,Z604
ec,609,609,Z605
gy,612,612,Z606
py,614,614,Z610
pe,615,615,Z611
sr,616,616,Z608
tt,617,617,Z612
uy,618,618,Z613
ve,619,619,Z614
au,701,701,Z700
fj,703,703,Z704
ki,708,708,Z731
mh,712,712,Z711
fm,713,713,Z735
nr,715,715,Z713
nz,719,719,Z719
pw,720,720,Z734
pg,721,721,Z730
sb,725,725,Z724
ws,727,727,Z726
to,730,730,Z728
tv,731,731,Z732
vu,732,732,Z733
nc,902,718,Z716
eh,905,,Z339
bm,908,508,Z400
ck,909,702,Z703
gi,910,218,Z113
ky,911,511,Z530
ai,917,502,Z529
pf,920,724,Z723
fo,924,213,Z108
aw,926,603,Z501
gl,934,520,Z402
fk,958,610,Z609
im,959,228,Z122
ms,964,528,Z531
pn,972,723,Z722
pm,980,535,Z403
sh,983,447,Z340
tc,992,537,Z519
vg,994,539,Z525
wf,997,734,Z729
